ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
KBSTAR 미국고정배당우선증권ICE TR,https://finance.naver.com/item/coinfo.nhn?code=354240,354240,케이비자산운용,0.500,83,-0.51,-1.17,-6.00,, INVESCO PREFERRED ETF ,, BAC 6 PERP ,, WFC 4 3/4 PERP ,, JPM 6 PERP ,, T 4 3/4 PERP ,, WFC 5.85 PERP ,, JPM 5 3/4 PERP ,, COF 5 PERP ,, PNC 6 1/8 PERP ,, C 6 7/8 PERP ,
KBSTAR 모멘텀밸류,https://finance.naver.com/item/coinfo.nhn?code=252720,252720,케이비자산운용,0.350,36,-2.97,21.09,40.09,37.75, 삼성전자 ,30.74, 기아차 ,8.98, POSCO ,8.35, 현대차 ,7.89, 하나금융지주 ,7.88, KB금융 ,7.85, 삼성생명 ,2.78, 한화솔루션 ,2.35, 롯데케미칼 ,2.21, 금호석유 ,1.62
KBSTAR 모멘텀로우볼,https://finance.naver.com/item/coinfo.nhn?code=252730,252730,케이비자산운용,0.350,90,-4.77,22.23,31.26,48.24, 삼성전자 ,30.67, NAVER ,9.82, 현대차 ,7.89, 삼성SDI ,7.51, LG화학 ,6.81, 카카오 ,5.02, 기아차 ,3.37, POSCO ,2.86, 엔씨소프트 ,2.86, LG전자 ,2.67
KBSTAR 대형고배당10TR,https://finance.naver.com/item/coinfo.nhn?code=315960,315960,케이비자산운용,0.150,965,0.09,23.96,48.06,47.80, SK하이닉스 ,25.19, 삼성전자 ,25.14, 현대차 ,14.02, POSCO ,7.79, KB금융 ,6.82, 신한지주 ,6.07, 기아차 ,4.90, 현대모비스 ,3.83, 하나금융지주 ,3.30, KT&G ,2.53
KBSTAR 단기통안채,https://finance.naver.com/item/coinfo.nhn?code=196230,196230,케이비자산운용,0.130,1835,0.08,0.20,0.31,0.93, 통화안정증권00590-2107-01 ,, 통화안정증권00690-2111-01 ,, 통화안정증권00700-2109-01 ,, 통화안정증권00720-2105-01 ,, 통화안정증권00990-2103-01 ,, 통화안정증권01180-2108-02 ,, 통화안정증권01315-2110-02 ,, 통화안정증권01400-2112-02 ,, 통화안정증권01585-2106-02 ,, 통화안정증권01740-2104-02 ,
KBSTAR 단기국공채액티브,https://finance.naver.com/item/coinfo.nhn?code=272560,272560,케이비자산운용,0.070,885,0.11,0.29,0.44,1.36, 국고채권01625-2206(19-3) ,, 국고채권02000-2112(18-9) ,, 농업금융채권(은행)2019-07이2Y-C ,, 산업금융채권19신이0200-0802-1 ,, 중소기업은행(신)2009할1A-04 ,, 중소벤처기업진흥채권652 ,, 통화안정증권01740-2104-02 ,, 한국가스공사402 ,, 한국농어촌공사23 ,, 한국도로공사고속도로건설채권528 ,
KBSTAR 내수주플러스,https://finance.naver.com/item/coinfo.nhn?code=326230,326230,케이비자산운용,0.400,50,-7.07,7.18,9.30,23.58, LG전자 ,11.20, LG생활건강 ,10.12, SK텔레콤 ,7.33, KT&G ,5.99, 아모레퍼시픽 ,5.04, 한국전력 ,4.63, KT ,2.50, 코웨이 ,2.47, 이마트 ,2.34, LG유플러스 ,2.33
KBSTAR 금융채액티브,https://finance.naver.com/item/coinfo.nhn?code=336160,336160,케이비자산운용,0.070,631,0.08,0.40,0.56,1.76, 3년국채    F 202103 ,, 국고채권00875-2312(20-8) ,, 산업금융채권20신이0300-0721-1 ,, 신한카드2091-2 ,, 신한캐피탈425-6 ,, 우리카드181-2 ,, 중소기업은행(신)2011이3A-05 ,, 하나은행43-11이3갑-12 ,, 하나카드190 ,, 하나캐피탈307-4 ,
KBSTAR 글로벌데이터센터리츠나스닥(합성),https://finance.naver.com/item/coinfo.nhn?code=375270,375270,케이비자산운용,0.400,82,-3.03,,,, 스왑(키움증권)_210112_44B2 ,, 스왑(NH투자증권)_210112_44B2 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 글로벌4차산업IT(합성 H),https://finance.naver.com/item/coinfo.nhn?code=276650,276650,케이비자산운용,0.400,281,-3.30,8.77,11.42,36.09, 스왑(NH투자증권) 190322 ,, 스왑(키움증권) 190322 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 국채선물10년인버스,https://finance.naver.com/item/coinfo.nhn?code=295020,295020,케이비자산운용,0.070,51,1.48,2.41,4.28,4.49, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 국채선물10년,https://finance.naver.com/item/coinfo.nhn?code=295000,295000,케이비자산운용,0.070,30,-1.46,-2.25,-3.96,-3.51, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 국고채3년선물인버스,https://finance.naver.com/item/coinfo.nhn?code=282000,282000,케이비자산운용,0.070,526,0.05,0.08,0.43,-0.03, 3년국채    F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 국고채3년,https://finance.naver.com/item/coinfo.nhn?code=114100,114100,케이비자산운용,0.115,340,-0.02,0.12,-0.07,1.26, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01250-2212(19-7) ,, 원화현금 ,
KBSTAR 고배당,https://finance.naver.com/item/coinfo.nhn?code=266160,266160,케이비자산운용,0.200,83,-1.21,12.57,30.08,32.35, 삼성전자 ,29.01, 현대차 ,9.09, POSCO ,5.90, KB금융 ,5.26, 신한지주 ,4.49, 하나금융지주 ,3.95, SK텔레콤 ,3.89, 삼성생명 ,3.46, 우리금융지주 ,2.67, LG ,2.51
KBSTAR 게임테마,https://finance.naver.com/item/coinfo.nhn?code=300640,300640,케이비자산운용,0.300,84,-1.23,15.57,14.12,59.19, 카카오게임즈 ,9.56, 펄어비스 ,9.29, 웹젠 ,8.88, 엔씨소프트 ,8.81, 넷마블 ,8.12, 컴투스 ,7.62, NHN ,7.56, 더블유게임즈 ,5.68, 데브시스터즈 ,5.00, 위메이드 ,3.73
KBSTAR 5대그룹주,https://finance.naver.com/item/coinfo.nhn?code=105780,105780,케이비자산운용,0.400,84,-7.08,21.11,35.67,57.28, SK하이닉스 ,10.61, 삼성전자 ,9.89, LG화학 ,8.88, 삼성SDI ,8.81, 현대차 ,8.59, 기아차 ,5.13, 현대모비스 ,4.95, POSCO ,4.35, LG전자 ,4.06, LG생활건강 ,3.68
KBSTAR 200TR,https://finance.naver.com/item/coinfo.nhn?code=361580,361580,케이비자산운용,0.012,1114,-2.73,19.07,33.78,, 삼성전자 ,31.54, SK하이닉스 ,6.43, NAVER ,3.86, LG화학 ,3.09, 삼성SDI ,2.83, 현대차 ,2.71, 셀트리온 ,2.52, 카카오 ,2.46, 기아차 ,1.62, 현대모비스 ,1.59
KBSTAR 200IT,https://finance.naver.com/item/coinfo.nhn?code=285000,285000,케이비자산운용,0.190,144,-6.35,32.07,50.21,64.29, SK하이닉스 ,22.65, 삼성SDI ,20.00, 삼성전자 ,18.69, LG전자 ,11.45, 삼성전기 ,7.57, LG ,6.11, 삼성에스디에스 ,4.66, LG디스플레이 ,3.69, LG이노텍 ,2.04, DB하이텍 ,1.43
KBSTAR 200커뮤니케이션서비스,https://finance.naver.com/item/coinfo.nhn?code=315480,315480,케이비자산운용,0.190,91,2.62,18.35,9.98,61.98, 카카오 ,23.07, NAVER ,21.95, 엔씨소프트 ,18.52, SK텔레콤 ,13.26, 넷마블 ,8.38, KT ,5.95, LG유플러스 ,3.48, 빅히트 ,2.04, 제일기획 ,1.42, 이노션 ,0.92
KBSTAR 200철강소재,https://finance.naver.com/item/coinfo.nhn?code=285020,285020,케이비자산운용,0.190,39,2.71,19.31,36.27,32.20, 현대제철 ,21.83, POSCO ,20.83, 고려아연 ,16.26, 풍산 ,10.91, 동국제강 ,9.97, 남선알미늄 ,6.16, KG동부제철 ,5.45, 동원시스템즈 ,4.01, 영풍 ,3.69, 원화현금 ,0.91
KBSTAR 200중공업,https://finance.naver.com/item/coinfo.nhn?code=285010,285010,케이비자산운용,0.190,22,-3.36,-2.43,20.11,18.20, 한국조선해양 ,21.42, 삼성중공업 ,14.04, 현대중공업지주 ,11.92, 두산중공업 ,9.58, 두산밥캣 ,7.18, 현대엘리베이 ,6.50, 현대미포조선 ,6.04, 현대로템 ,6.00, 씨에스윈드 ,5.88, 대우조선해양 ,5.78
KBSTAR 200에너지화학,https://finance.naver.com/item/coinfo.nhn?code=284990,284990,케이비자산운용,0.190,46,-7.79,19.80,34.95,89.19, SK이노베이션 ,18.43, LG화학 ,17.85, SK ,12.35, 한화솔루션 ,7.42, 롯데케미칼 ,6.95, 금호석유 ,5.08, S-Oil ,4.85, SK케미칼 ,3.91, OCI ,3.19, SKC ,3.18
KBSTAR 200선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=252420,252420,케이비자산운용,0.600,301,5.31,-32.30,-47.53,-67.29, TIGER 200선물인버스2X ,, KODEX 200선물인버스2X ,, KBSTAR 200선물인버스 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 200선물인버스,https://finance.naver.com/item/coinfo.nhn?code=252410,252410,케이비자산운용,0.600,46,3.20,-16.72,-26.88,-39.35, KODEX 인버스 ,, TIGER 인버스 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 200선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=252400,252400,케이비자산운용,0.600,281,-7.68,36.66,70.85,100.09, KBSTAR 200 ,, TIGER 200선물레버리지 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 200생활소비재,https://finance.naver.com/item/coinfo.nhn?code=287330,287330,케이비자산운용,0.190,42,-4.33,7.52,9.20,16.22, LG생활건강 ,18.14, KT&G ,13.81, 아모레퍼시픽 ,12.32, 한국전력 ,12.08, 이마트 ,5.69, CJ제일제당 ,5.34, 오리온 ,4.70, 아모레G ,2.88, CJ ,2.17, 동서 ,2.12
KBSTAR 200산업재,https://finance.naver.com/item/coinfo.nhn?code=287320,287320,케이비자산운용,0.190,13,-1.90,19.29,46.99,40.84, 대한항공 ,20.01, HMM ,14.63, 현대글로비스 ,10.55, 한국항공우주 ,6.91, 에스원 ,5.98, CJ대한통운 ,5.33, 팬오션 ,3.82, 한화에어로스페이스 ,3.77, LS ,3.56, 한진칼 ,3.45
KBSTAR 200금융,https://finance.naver.com/item/coinfo.nhn?code=284980,284980,케이비자산운용,0.190,24,-0.32,-1.07,17.19,10.97, KB금융 ,19.41, 신한지주 ,17.32, 하나금융지주 ,12.89, 삼성생명 ,8.10, 삼성화재 ,6.92, 우리금융지주 ,6.60, 한국금융지주 ,4.60, 미래에셋대우 ,4.19, 삼성증권 ,2.85, 기업은행 ,2.70
KBSTAR 200고배당커버드콜ATM,https://finance.naver.com/item/coinfo.nhn?code=290080,290080,케이비자산운용,0.400,49,3.52,-3.81,4.19,-7.17, 포스코인터내셔널 ,4.91, KT ,3.20, GS ,3.09, 효성 ,2.99, 롯데쇼핑 ,2.92, SK텔레콤 ,2.91, 현대중공업지주 ,2.87, POSCO ,2.83, 한전KPS ,2.80, GKL ,2.72
KBSTAR 200경기소비재,https://finance.naver.com/item/coinfo.nhn?code=287310,287310,케이비자산운용,0.190,60,-7.77,22.04,36.18,48.82, 현대차 ,20.98, 기아차 ,17.71, 현대모비스 ,17.32, 삼성물산 ,10.65, 한온시스템 ,3.66, 코웨이 ,3.23, 한국타이어앤테크놀로지 ,3.03, 강원랜드 ,2.71, 호텔신라 ,2.21, 만도 ,1.80
KBSTAR 200건설,https://finance.naver.com/item/coinfo.nhn?code=287300,287300,케이비자산운용,0.190,20,-2.74,28.14,36.47,38.44, 포스코케미칼 ,22.53, 현대건설 ,15.40, GS건설 ,10.74, 삼성엔지니어링 ,9.98, DL이앤씨 ,8.59, 대우건설 ,6.17, HDC현대산업개발 ,5.76, DL ,5.36, 아이에스동서 ,4.01, 쌍용양회 ,3.71
KBSTAR 200,https://finance.naver.com/item/coinfo.nhn?code=148020,148020,케이비자산운용,0.017,12108,-3.05,18.87,33.36,50.04, 삼성전자 ,31.72, SK하이닉스 ,6.47, NAVER ,3.86, LG화학 ,3.10, 삼성SDI ,2.84, 현대차 ,2.72, 셀트리온 ,2.56, 카카오 ,2.50, 기아차 ,1.63, 현대모비스 ,1.60
HANARO MSCI Korea TR,https://finance.naver.com/item/coinfo.nhn?code=332940,332940,엔에이치아문디자산운용,0.120,2721,-4.36,18.32,33.61,48.50, 삼성전자 ,32.66, SK하이닉스 ,6.40, 삼성전자우 ,4.97, NAVER ,3.84, LG화학 ,3.17, 삼성SDI ,3.09, 현대차 ,2.93, 셀트리온 ,2.37, 카카오 ,2.32, 기아차 ,1.73
HANARO KRX300,https://finance.naver.com/item/coinfo.nhn?code=304760,304760,엔에이치아문디자산운용,0.050,170,-4.53,17.02,30.14,48.99, 삼성전자 ,29.55, SK하이닉스 ,6.03, NAVER ,3.61, LG화학 ,2.90, 삼성SDI ,2.64, 현대차 ,2.53, 셀트리온 ,2.42, 카카오 ,2.32, 기아차 ,1.52, POSCO ,1.49
HANARO KAP초장기국고채,https://finance.naver.com/item/coinfo.nhn?code=346000,346000,엔에이치아문디자산운용,0.200,86,-3.02,-4.99,-7.18,-9.22, 국고채권01500-3012(20-9) ,, 국고채권01500-4009(20-7) ,, 국고채권01500-5003(20-2) ,, 설정현금액 ,, 원화현금 ,
HANARO Fn5G산업,https://finance.naver.com/item/coinfo.nhn?code=367740,367740,엔에이치아문디자산운용,0.450,230,-5.38,15.01,,, KT ,7.53, LG유플러스 ,7.13, SK텔레콤 ,7.10, NAVER ,7.01, 카카오 ,7.00, LG이노텍 ,6.54, 삼성SDI ,6.52, SK하이닉스 ,6.45, 삼성전기 ,6.17, 삼성에스디에스 ,5.77
HANARO Fn K-뉴딜디지털플러스,https://finance.naver.com/item/coinfo.nhn?code=368190,368190,엔에이치아문디자산운용,0.450,1057,-5.94,13.64,,, 카카오 ,12.34, NAVER ,12.29, 삼성SDI ,11.26, 엔씨소프트 ,9.97, LG화학 ,9.52, SK이노베이션 ,8.20, 셀트리온 ,7.90, 삼성바이오로직스 ,7.51, 셀트리온헬스케어 ,7.23, 포스코케미칼 ,2.61
HANARO e커머스,https://finance.naver.com/item/coinfo.nhn?code=322400,322400,엔에이치아문디자산운용,0.450,274,0.58,16.57,15.84,64.05, NAVER ,22.77, 카카오 ,22.69, SK텔레콤 ,12.76, 현대글로비스 ,4.35, 이마트 ,4.11, CJ제일제당 ,3.92, 호텔신라 ,3.03, 휠라홀딩스 ,2.39, 신세계 ,2.32, CJ대한통운 ,2.15
HANARO 탄소효율그린뉴딜,https://finance.naver.com/item/coinfo.nhn?code=375760,375760,엔에이치아문디자산운용,0.200,78,,,,, 삼성전자 ,30.65, SK하이닉스 ,5.14, NAVER ,3.75, 현대차 ,2.92, LG화학 ,2.88, 삼성SDI ,2.20, 기아차 ,2.06, 셀트리온 ,1.94, 현대모비스 ,1.79, 카카오 ,1.64
HANARO 코스닥150선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=306530,306530,엔에이치아문디자산운용,0.450,57,-21.99,2.05,1.92,70.40, HANARO 코스닥150 ,, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
HANARO 코스닥150,https://finance.naver.com/item/coinfo.nhn?code=304770,304770,엔에이치아문디자산운용,0.200,340,-11.35,1.58,2.19,37.91, 셀트리온헬스케어 ,11.55, 에이치엘비 ,2.84, 알테오젠 ,2.51, 셀트리온제약 ,2.46, 씨젠 ,2.08, 제넥신 ,1.82, 현대바이오 ,1.71, 펄어비스 ,1.68, 원익IPS ,1.57, 에코프로비엠 ,1.53
HANARO 단기통안채,https://finance.naver.com/item/coinfo.nhn?code=306540,306540,엔에이치아문디자산운용,0.100,1935,0.05,0.13,0.24,0.71, 통화안정증권00590-2107-01 ,, 통화안정증권00700-2109-01 ,, 통화안정증권00720-2105-01 ,, 통화안정증권00990-2103-01 ,, 통화안정증권01315-2110-02 ,, 통화안정증권01585-2106-02 ,, 통화안정증권01740-2104-02 ,, 통화안정증권DC021-0309-1820 ,, 통화안정증권DC021-0504-1820 ,, 통화안정증권DC021-0615-1820 ,
HANARO 농업융복합산업,https://finance.naver.com/item/coinfo.nhn?code=314700,314700,엔에이치아문디자산운용,0.500,65,-5.88,9.53,13.25,46.00, CJ제일제당 ,9.95, LG화학 ,9.82, KT&G ,8.39, 팜스코 ,6.90, 선진 ,5.43, 남해화학 ,5.16, 대동공업 ,3.97, 롯데정밀화학 ,3.95, 카프로 ,3.39, CJ프레시웨이 ,3.39
HANARO 글로벌럭셔리S&P(합성),https://finance.naver.com/item/coinfo.nhn?code=354350,354350,엔에이치아문디자산운용,0.500,89,7.27,12.19,26.81,, 스왑(미래대우) 200511 ,, 설정현금액 ,, 원화현금 ,
HANARO 고배당,https://finance.naver.com/item/coinfo.nhn?code=322410,322410,엔에이치아문디자산운용,0.250,200,2.20,9.10,22.11,18.00, KT ,10.02, 하나금융지주 ,9.74, SK텔레콤 ,9.41, KT&G ,8.54, 쌍용양회 ,8.47, GS ,7.45, 포스코인터내셔널 ,5.30, BNK금융지주 ,4.92, 효성 ,4.11, 한전KPS ,3.17
HANARO 200TR,https://finance.naver.com/item/coinfo.nhn?code=332930,332930,엔에이치아문디자산운용,0.070,1634,-3.15,18.96,33.44,50.13, 삼성전자 ,32.06, SK하이닉스 ,6.53, NAVER ,3.91, LG화학 ,3.14, 삼성SDI ,2.87, 현대차 ,2.75, 셀트리온 ,2.60, 카카오 ,2.52, 기아차 ,1.64, 현대모비스 ,1.62
HANARO 200선물인버스,https://finance.naver.com/item/coinfo.nhn?code=306520,306520,엔에이치아문디자산운용,0.450,371,3.04,-16.83,-26.53,-39.49, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
HANARO 200선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=304780,304780,엔에이치아문디자산운용,0.450,505,-7.54,36.95,71.13,100.14, HANARO 200 ,, HANARO 200TR ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
HANARO 200,https://finance.naver.com/item/coinfo.nhn?code=293180,293180,엔에이치아문디자산운용,0.036,5902,-3.00,18.82,33.36,50.17, 삼성전자 ,31.58, SK하이닉스 ,6.44, NAVER ,3.85, LG화학 ,3.11, 삼성SDI ,2.81, 현대차 ,2.72, 셀트리온 ,2.56, 카카오 ,2.48, 기아차 ,1.62, POSCO ,1.58
FOCUS KRX300,https://finance.naver.com/item/coinfo.nhn?code=292730,292730,브이아이자산운용,0.100,210,-5.16,16.40,29.56,47.90, 삼성전자 ,29.48, SK하이닉스 ,6.01, NAVER ,3.59, LG화학 ,2.90, 삼성SDI ,2.63, 현대차 ,2.53, 셀트리온 ,2.34, 카카오 ,2.31, 기아차 ,1.51, 현대모비스 ,1.48
FOCUS ESG리더스,https://finance.naver.com/item/coinfo.nhn?code=285690,285690,브이아이자산운용,0.100,206,-3.92,15.74,31.55,44.11, SK이노베이션 ,1.88, S-Oil ,1.53, SK하이닉스 ,1.50, HMM ,1.40, 현대차 ,1.39, SK ,1.39, 아모레퍼시픽 ,1.38, 현대모비스 ,1.38, 신한지주 ,1.37, KT ,1.36
ARIRANG S&P글로벌인프라,https://finance.naver.com/item/coinfo.nhn?code=269530,269530,한화자산운용,0.300,38,3.46,4.46,5.49,-11.86, HUTCHISON PORT HOLDINGS TR-U ,, ISHARES GLOBAL INFRA ,, QUBE HOLDINGS ,, BEIJING AIRPORT ,, COSCO Pacific Ltd ,, ZHEJIANG EXPRESS ,, CHINA MERCHANTS HOLD ,, SYDNEY AIRPORT ,, JIANGSU EXPRESS ,, AUCKLAND INTL AIRPORT LTD ,
ARIRANG KS퀄리티가중TR,https://finance.naver.com/item/coinfo.nhn?code=333980,333980,한화자산운용,0.250,46,-2.96,15.20,25.98,39.55, 삼성전자 ,24.64, 셀트리온 ,3.56, SK하이닉스 ,3.42, 현대모비스 ,2.68, 엔씨소프트 ,2.68, LG생활건강 ,2.56, 삼성에스디에스 ,2.25, 빅히트 ,2.12, 신한지주 ,2.07, 금호석유 ,2.06
ARIRANG KS밸류가중TR,https://finance.naver.com/item/coinfo.nhn?code=333970,333970,한화자산운용,0.250,99,-2.07,17.59,36.22,45.49, 삼성전자 ,27.49, SK하이닉스 ,3.34, POSCO ,2.82, SK ,2.56, 신한지주 ,2.17, KB금융 ,2.16, 롯데케미칼 ,2.01, 하나금융지주 ,1.93, 한국타이어앤테크놀로지 ,1.85, KT ,1.77
ARIRANG KS모멘텀가중TR,https://finance.naver.com/item/coinfo.nhn?code=333960,333960,한화자산운용,0.250,88,-4.52,17.32,23.37,50.42, 삼성전자 ,23.93, NAVER ,4.91, LG화학 ,4.56, 현대차 ,4.38, 삼성SDI ,4.12, 카카오 ,4.02, 삼성바이오로직스 ,3.84, 포스코케미칼 ,3.80, LG전자 ,3.42, SK하이닉스 ,3.32
ARIRANG KS로우사이즈가중TR,https://finance.naver.com/item/coinfo.nhn?code=333950,333950,한화자산운용,0.250,40,-2.69,17.16,31.77,55.93, 삼성전자 ,24.06, SK하이닉스 ,3.32, LG화학 ,1.55, NAVER ,1.49, 삼성바이오로직스 ,1.31, 더존비즈온 ,1.04, 일진머티리얼즈 ,1.01, OCI ,0.93, 만도 ,0.92, 현대차 ,0.91
ARIRANG KS로우볼가중TR,https://finance.naver.com/item/coinfo.nhn?code=333940,333940,한화자산운용,0.250,80,-1.37,13.46,25.58,29.56, 삼성전자 ,29.07, NAVER ,5.20, SK하이닉스 ,3.52, POSCO ,2.97, 삼성물산 ,2.62, LG ,2.58, SK텔레콤 ,2.58, LG생활건강 ,2.51, 신한지주 ,2.30, S-Oil ,2.29
ARIRANG KRX300IT,https://finance.naver.com/item/coinfo.nhn?code=309170,309170,한화자산운용,0.400,28,-5.22,26.10,45.86,54.52, SK하이닉스 ,23.76, 삼성SDI ,21.08, 삼성전자 ,19.61, 삼성전기 ,7.16, 삼성에스디에스 ,4.43, LG디스플레이 ,3.48, LG이노텍 ,1.94, 더존비즈온 ,1.40, DB하이텍 ,1.34, 원익IPS ,1.11
ARIRANG KRX300헬스케어,https://finance.naver.com/item/coinfo.nhn?code=309210,309210,한화자산운용,0.400,62,-12.62,-7.31,-7.47,58.98, 셀트리온 ,22.42, 셀트리온헬스케어 ,13.06, 삼성바이오로직스 ,11.85, 유한양행 ,3.53, 신풍제약 ,3.11, 알테오젠 ,2.82, 셀트리온제약 ,2.71, 한미약품 ,2.65, 씨젠 ,2.38, 녹십자 ,2.23
ARIRANG KRX300,https://finance.naver.com/item/coinfo.nhn?code=292750,292750,한화자산운용,0.090,134,-4.34,18.03,30.30,49.37, 삼성전자 ,29.86, SK하이닉스 ,6.09, NAVER ,3.64, LG화학 ,2.95, 삼성SDI ,2.67, 현대차 ,2.56, 셀트리온 ,2.38, 카카오 ,2.34, 기아차 ,1.53, 현대모비스 ,1.50
ARIRANG ESG우수기업,https://finance.naver.com/item/coinfo.nhn?code=278420,278420,한화자산운용,0.230,40,-2.74,8.98,15.14,22.02, 카카오 ,4.96, NAVER ,4.49, 이마트 ,4.28, SK텔레콤 ,4.02, KT ,3.97, 삼성전자 ,3.97, 한라홀딩스 ,3.66, LG생활건강 ,3.42, 한전KPS ,3.18, POSCO ,3.12
ARIRANG 탄소효율그린뉴딜,https://finance.naver.com/item/coinfo.nhn?code=376250,376250,한화자산운용,0.200,69,,,,, 삼성전자 ,30.50, SK하이닉스 ,5.12, NAVER ,3.75, 현대차 ,2.90, LG화학 ,2.89, 삼성SDI ,2.20, 기아차 ,2.06, 셀트리온 ,1.94, 현대모비스 ,1.79, 카카오 ,1.69
ARIRANG 코스피TR,https://finance.naver.com/item/coinfo.nhn?code=328370,328370,한화자산운용,0.150,1700,-3.79,17.31,29.76,47.70, 삼성전자 ,24.70, SK하이닉스 ,5.19, NAVER ,3.08, LG화학 ,2.97, 현대차 ,2.54, 삼성바이오로직스 ,2.48, 삼성SDI ,2.32, 카카오 ,2.20, 셀트리온 ,2.05, 기아차 ,1.61
ARIRANG 코스피중형주,https://finance.naver.com/item/coinfo.nhn?code=301440,301440,한화자산운용,0.250,63,-2.99,12.80,25.68,54.26, HMM ,2.73, 녹십자 ,1.97, 신풍제약 ,1.96, SK케미칼 ,1.96, 동서 ,1.77, 두산중공업 ,1.75, 두산퓨얼셀 ,1.39, 씨에스윈드 ,1.35, 키움증권 ,1.34, OCI ,1.32
ARIRANG 코스피50,https://finance.naver.com/item/coinfo.nhn?code=122090,122090,한화자산운용,0.330,151,-3.57,19.70,33.39,51.78, 삼성전자 ,31.56, SK하이닉스 ,8.53, NAVER ,5.08, LG화학 ,4.13, 삼성SDI ,3.73, 현대차 ,3.58, 셀트리온 ,3.32, 카카오 ,3.30, 기아차 ,2.14, 현대모비스 ,2.12
ARIRANG 코스피,https://finance.naver.com/item/coinfo.nhn?code=227830,227830,한화자산운용,0.200,279,-3.93,17.34,29.58,47.35, 삼성전자 ,24.60, SK하이닉스 ,5.15, NAVER ,3.07, LG화학 ,2.95, 현대차 ,2.52, 삼성바이오로직스 ,2.47, 삼성SDI ,2.30, 카카오 ,2.17, 셀트리온 ,2.05, 기아차 ,1.61
ARIRANG 코스닥150선물인버스,https://finance.naver.com/item/coinfo.nhn?code=301410,301410,한화자산운용,0.290,54,11.12,-4.53,-7.12,-38.42, TIGER 코스닥150선물인버스 ,, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
ARIRANG 코스닥150,https://finance.naver.com/item/coinfo.nhn?code=301400,301400,한화자산운용,0.150,34,-10.16,3.25,3.56,39.02, 셀트리온헬스케어 ,11.53, 에이치엘비 ,2.85, 알테오젠 ,2.48, 셀트리온제약 ,2.42, 씨젠 ,2.10, 제넥신 ,1.85, 현대바이오 ,1.71, 펄어비스 ,1.68, 원익IPS ,1.56, 케이엠더블유 ,1.52
ARIRANG 중형주저변동50,https://finance.naver.com/item/coinfo.nhn?code=266550,266550,한화자산운용,0.230,72,-2.39,12.77,18.85,42.44, 포스코인터내셔널 ,3.74, S&T모티브 ,3.64, 영원무역 ,3.37, 롯데하이마트 ,3.29, 대우건설 ,3.22, 아이에스동서 ,2.84, 한화생명 ,2.81, 태영건설 ,2.73, 풍산 ,2.73, 한국콜마 ,2.70
ARIRANG 주도업종,https://finance.naver.com/item/coinfo.nhn?code=280920,280920,한화자산운용,0.230,77,-5.30,17.97,25.58,56.60, 삼성전자 ,19.75, NAVER ,11.12, LG화학 ,8.68, 삼성SDI ,7.95, 현대차 ,7.71, 셀트리온 ,7.17, 카카오 ,6.91, 기아차 ,4.60, 현대모비스 ,4.44, POSCO ,3.89
ARIRANG 우량회사채50 1년,https://finance.naver.com/item/coinfo.nhn?code=239660,239660,한화자산운용,0.135,130,0.16,0.32,0.39,1.20, 국고채권00875-2312(20-8) ,, 삼성물산111-2 ,, 에스케이하이닉스218 ,, 엘아이지넥스원7-1 ,, 지에스에너지5-2 ,, 통화안정증권00710-2208-02 ,, 통화안정증권00740-2206-02 ,, 하나캐피탈322-1 ,, 현대캐피탈1551 ,, JB 우리캐피탈416-3 ,
ARIRANG 심천차이넥스트(합성),https://finance.naver.com/item/coinfo.nhn?code=256450,256450,한화자산운용,0.500,75,-10.08,15.52,8.92,30.09, 스왑(미래에셋대우) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
ARIRANG 신흥국MSCI인버스(합성 H),https://finance.naver.com/item/coinfo.nhn?code=373530,373530,한화자산운용,0.500,66,2.01,,,, 스왑(미래에셋대우) ,, 스왑(키움증권) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
